"astro-ph/0110093","Chung-Pei Ma","Nick Sarbu, David Rusin and Chung-Pei Ma (U Penn; UC Berkeley)","Strong Gravitational Lensing and Dark Energy","12 pages, 3 figures. Accepted for publication in ApJ Letters","Astrophys.J. 561 (2001) L147-L151","10.1086/324679",,"astro-ph hep-ph",,"  We investigate the statistics of gravitational lenses in flat, low-density
cosmological models with different cosmic equations of state w. We compute the
lensing probabilities as a function of image separation \theta using a lens
population described by the mass function of Jenkins et al. and modeled as
singular isothermal spheres on galactic scales and as Navarro, Frenk & White
halos on cluster scales. It is found that COBE-normalized models with w > - 0.4
produce too few arcsecond-scale lenses in comparison with the JVAS/CLASS radio
survey, a result that is consistent with other observational constraints on w.
The wide-separation (\theta > 4'') lensing rate is a particularly sensitive
probe of both w and the halo mass concentration. The absence of these systems
in the current JVAS/CLASS data excludes highly concentrated halos in w < -0.7
models. The constraints can be improved by ongoing and future lensing surveys
of > 10^5 sources.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:07:19 GMT""}]","2009-11-07"
"cond-mat/0110096","Alan R. Denton","A. R. Denton","Nonlinear Screening and Effective Interactions in Charged Colloids","4 pages, 4 figures",,,,"cond-mat.soft cond-mat.stat-mech",,"  Influences of nonlinear screening on effective interactions between spherical
macroions in charged colloids are described via response theory. Nonlinear
screening, in addition to generating effective many-body interactions, is shown
to entail essential corrections to the pair potential and one-body volume
energy. Numerical results demonstrate that nonlinear effects can substantially
modify effective interactions and thermodynamics of aqueous, low-salt
suspensions of highly-charged macroions.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 19:46:59 GMT""},{""version"":""v2"",""created"":""Thu, 4 Oct 2001 20:09:39 GMT""}]","2007-05-23"
"cond-mat/0110097","Steve K. Lamoreaux","S.K. Lamoreaux, G. Archibald, P.D. Barnes, W.T. Buttler, D.J. Clark,
  M.D. Cooper, M. Espy, G.L. Greene, R. Golub, M.E. Hayden, C. Lei, L.J. Marek,
  J.-C. Peng and S. Penttila","Measurement of the 3He mass diffusion coefficient in superfluid 4He over
  the 0.45-0.95 K temperature range","8 pages, 5 figures. Submitted to Europhysics Letters and prepared in
  that journal's format",,"10.1209/epl/i2002-00408-4","LA-UR 01-5444","cond-mat",,"  We have measured the mass diffusion coefficient D of 3He in superfluid 4He at
temperatures lower than were previously possible. The experimental technique
utilizes scintillation light produced when neutron react with 3He nuclei, and
allows measurement of the 3He density integrated along the trajectory of a
well-defined neutron beam. By measuring the change in 3He density near a heater
as a function of applied heat current, we are able to infer values of D with
20% accuracy. At temperatures below 0.7 K and for concentrations of order
10^{-4} we find D=(2.0+2.4-1.2)T^-(6.5 -/+ 1.2) cm^2/s, in agreement with a
theoretical approximation.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 20:03:23 GMT""}]","2009-11-07"
"cond-mat/0110098","Eddy Timmermans","Eddy Timmermans","Degenerate fermion gas heating by hole creation","to be published in PRL",,"10.1103/PhysRevLett.87.240403",,"cond-mat.stat-mech",,"  Loss processes that remove particles from an atom trap leave holes behind in
the single particle distribution if the trapped gas is a degenerate fermion
system. The appearance of holes increases the temperature and we show that the
heating is (i) significant if the initial temperature is well below the Fermi
temperature $T_{F}$, and (ii) increases the temperature to $T \geq T_{F}/4$
after half of the system's lifetime, regardless of the initial temperature. The
hole heating has important consequences for the prospect of observing
Cooper-pairing in atom traps.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 21:18:46 GMT""}]","2009-11-07"
"cond-mat/0110099","Piers Coleman","P. Coleman and C. Pepin","Supersymmetric approach to the infinite U Hubbard Model","To appear in proceedings of SCES 2001",,"10.1016/S0921-4526(01)01501-0",,"cond-mat.str-el",,"  We present a preliminary discussion on the use of supersymmetric
representation of the Hubbard operator which unifies the slave boson and slave
fermion representations into a single $U (1)\times SU (1| 1)$ gauge theory to
treat the physics of the infinite U Hubbard model. By looking for solutions to
the Hamiltonian in which the spins can exist as both condensed ordered moments
and as mobile charged carriers, we examine the possibility of a Nagaoka
ferromagnetic phase at finite doping with a quantum critical point into the
paramagnetic phase.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 20:13:51 GMT""}]","2009-11-07"
"cond-mat/0110100","Alan R. Denton","Matthias Schmidt and Alan R. Denton","Colloids, polymers, and needles: Demixing phase behavior","9 pages, 15 figures","Phys. Rev. E 65, 021508 (2002)","10.1103/PhysRevE.65.021508",,"cond-mat.soft cond-mat.stat-mech",,"  We consider a ternary mixture of hard colloidal spheres, ideal polymer
spheres, and rigid vanishingly thin needles, which model stretched polymers or
colloidal rods. For this model we develop a geometry-based density functional
theory, apply it to bulk fluid phases, and predict demixing phase behavior. In
the case of no polymer-needle interactions, two-phase coexistence between
colloid-rich and -poor phases is found. For hard needle-polymer interactions we
predict rich phase diagrams, exhibiting three-phase coexistence, and reentrant
demixing behavior.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 20:33:08 GMT""}]","2009-11-07"
"cond-mat/0110101","Stephan Rosswog","S. Rosswog, P. Wagner","Towards a Macroscopic Modelling of the Complexity in Traffic Flow","submitted to Phys. Rev. E",,"10.1103/PhysRevE.65.036106",,"cond-mat.stat-mech",,"  We present a macroscopic traffic flow model that extends existing fluid-like
models by an additional term containing the second derivative of the safe
velocity. Two qualitatively different shapes of the safe velocity are explored:
a conventional Fermi-type function and a function exhibiting a plateau at
intermediate densities. The suggested model shows an extremely rich dynamical
behaviour and shows many features found in real-world traffic data.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 21:58:00 GMT""}]","2009-11-07"
"cond-mat/0110102","Jong-kwan Kim","Alexander L. Fetter, Jong-kwan Kim","Vortex precession in a rotating nonaxisymmetric trapped Bose-Einstein
  condensate","9 pages, RevTeX, To appear in JLTP",,,,"cond-mat.stat-mech",,"  We study the precession of an off-axis straight vortex in a rotating
nonaxisymmetric harmonic trap in the Thomas-Fermi (TF) regime. A time-dependent
variational Lagrangian analysis yields the dynamical equations of the vortex
and the precessional angular velocity in two-dimensional (2D) and
three-dimensional (3D) condensates.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 23:11:33 GMT""}]","2007-05-23"
"cond-mat/0110103","Per Arne Rikvold","Per Arne Rikvold, Gregory Brown, Steven J. Mitchell, M.A. Novotny","Dynamics of Magnetization Reversal in Models of Magnetic Nanoparticles
  and Ultrathin Films","19 pages LaTex file. A pdf version which also includes Fig. 1 is
  available at http://www.csit.fsu.edu/~rikvold/abstracts/turkey.pdf","In: Nanostructured Magnetic Materials and their Applications,
  edited by D. Shi, B. Aktas, L. Pust, and F. Mikailov, Springer Lecture Notes
  in Physics, Vol. 593 (Springer, Berlin, 2002), pp. 164-182.",,"FSU-CSIT01-43","cond-mat.mtrl-sci cond-mat.stat-mech",,"  We discuss numerical and theoretical results for models of magnetization
switching in nanoparticles and ultrathin films. The models and computational
methods include kinetic Ising and classical Heisenberg models of highly
anisotropic magnets which are simulated by dynamic Monte Carlo methods, and
micromagnetics models of continuum-spin systems that are studied by
finite-temperature Langevin simulations. The theoretical analysis builds on the
fact that a magnetic particle or film that is magnetized in a direction
antiparallel to the applied field is in a metastable state. Nucleation theory
is therefore used to analyze magnetization reversal as the decay of this
metastable phase to equilibrium. We present numerical results on magnetization
reversal in models of nanoparticles and films, and on hysteresis in magnets
driven by oscillating external fields.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 22:54:51 GMT""}]","2007-05-23"
"cond-mat/0110104","Eugene Gregoryanz","Alexander F. Goncharov, Eugene Gregoryanz, Russell J. Hemley, Ho-kwang
  Mao","Spectroscopic Studies of the Vibrational and Electronic Properties of
  Solid Hydrogen to 285 GPa",,,"10.1073/pnas.201528198",,"cond-mat.mtrl-sci",,"  We report Raman scattering and visible to near-infrared absorption spectra of
solid hydrogen under static pressure up to 285 GPa at 85-140 K. We obtain
pressure dependences of vibron and phonon modes in agreement with previously
determined to lower pressures. The results indicate the stability of the
ordered molecular phase III to the highest pressure reached and provide
constraints on the insulator-to-metal transition pressure.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 23:37:36 GMT""}]","2009-11-07"
"cond-mat/0110105","Jon Links","J. Links, H.-Q. Zhou, R.H. McKenzie, M.D. Gould","Exact solution at integrable coupling of a model for the Josephson
  effect between small metallic grains","12 pages, latex, no figures","Int. J. Mod. Phys. B 16 (2002) 3429-3438","10.1142/S0217979202011949",,"cond-mat.supr-con",,"  A model is introduced for two reduced BCS systems which are coupled through
the transfer of Cooper pairs between the systems. The model may thus be used in
the analysis of the Josephson effect arising from pair tunneling between two
strongly coupled small metallic grains. At a particular coupling strength the
model is integrable and explicit results are derived for the energy spectrum,
conserved operators, integrals of motion, and wave function scalar products. It
is also shown that form factors can be obtained for the calculation of
correlation functions. Further, a connection with perturbed conformal field
theory is made.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 03:44:18 GMT""}]","2009-11-07"
"cond-mat/0110106","Alexander V. Zhukov","Alexander V. Zhukov","Local invariants in effective hydrodynamics of trapped dilute-gas
  Bose-Einstein condensates","10 pages",,,,"cond-mat.stat-mech",,"  In the framework of mean-field approximation the dynamics of Bose-Einstein
condensates can be described by the hydrodynamic-like equations. These
equations are analyzed here with account of mutual interaction between
condensate and non-condensate atoms. The Lagrange invariants and freezing-in
invariants of such a system have been found. This allows to get some necessary
conditions for creation of an atom laser with controlled parameters of the
beam. Particularly, the atom laser beam can carry quite well defined angular
momentum. This can be practically realized in the most simple case, when the
vorticity of condensate appears to be a freezing-in field. The optimal
conditions for a source mode regime are found out in the paper.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 08:12:07 GMT""},{""version"":""v2"",""created"":""Mon, 15 Oct 2001 02:08:21 GMT""}]","2007-05-23"
"cond-mat/0110107","Slava Yukalov","V.I. Yukalov","Principle of Pattern Selection for Nonequilibrium Phenomena","Latex file, 11 pages, no figures","Phys. Lett. A 284 (2001) 91-98","10.1016/S0375-9601(01)00281-X",,"cond-mat",,"  A general principle is advanced allowing the classification of nonunique
solutions to nonlinear evolution equations, corresponding to different
spatio-temporal patterns. This is done by defining the probability distribution
of patterns, which characterizes multiple solutions as more or less probable
with respect to each other. The most probable pattern is naturally defined by
the maximum of the pattern distribution. This maximum is shown to be equivalent
to the {\it minimum of local contraction}. The formulated principle plays for
nonequilibrium dynamical systems the same ordering role as the condition of
minimal free energy for equilibrium statistical systems. The generality of the
principle is illustrated by several examples of different nature.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 09:13:05 GMT""}]","2009-11-07"
"cond-mat/0110108","E. Ardonne","E. Ardonne","Parafermion statistics and the application to non-abelian quantum Hall
  states","15 pages, minor changes, as published","J.Phys.A35:447-462,2002","10.1088/0305-4470/35/3/301","ITFA-01-29","cond-mat.mes-hall hep-th",,"  The (exclusion) statistics of parafermions is used to study degeneracies of
quasiholes over the paired (or in general clustered) quantum Hall states. Focus
is on the Z_k and su(3)_k/u(1)^2 parafermions, which are used in the
description of spin-polarized and spin-singled clustered quantum Hall states.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 09:45:32 GMT""},{""version"":""v2"",""created"":""Thu, 17 Jan 2002 13:13:45 GMT""}]","2008-11-26"
"cond-mat/0110109","Antony Carrington","F. Manzano, A. Carrington, N.E. Hussey, S. Lee, and A. Yamamoto","Exponential Temperature Dependence of Penetration Depth in Single
  Crystal MgB_2","Minor corrections added, as per published article","Phys. Rev. Lett. 88, 047002 (2002)","10.1103/PhysRevLett.88.047002",,"cond-mat.supr-con",,"  The temperature dependence of the London penetration depth,lambda(T), was
measured in both single crystal and polycrystalline MgB_2 samples by a
high-resolution, radio frequency technique. A clear exponential temperature
dependence of lambda(T) was observed at low temperature, indicating s-wave
pairing. A BCS fit to the lowest temperature data gives an in-plane energy gap
Delta of 2.6\pm0.2 meV (2\Delta/T_c=1.5\pm0.1), which is significantly smaller
than the standard BCS weak coupling value of 3.5. We find that the data are
best described by a two-gap model.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:14:59 GMT""},{""version"":""v2"",""created"":""Tue, 8 Jan 2002 10:02:16 GMT""}]","2009-11-07"
"cond-mat/0110110","Drozdov","Aleksey D. Drozdov and Al Dorfmann (Institute of Structural
  Engineering, Vienna, Austria)","Finite viscoelasticity of filled rubbers: experiments and numerical
  simulation","33 pages, 10 figures",,,,"cond-mat.mtrl-sci",,"  Constitutive equations are derived for the viscoelastic behavior of
particle-reinforced rubbers at isothermal loading with finite strains. A filled
rubber is thought of as a composite medium where inclusions with high and low
concentrations of junctions between chains are randomly distributed in a host
matrix. The inclusions with high concentration of junctions are associated with
regions of suppressed mobility of chains that surround isolated clusters of
filler and its secondary network. The regions with low concentration of
junctions arise during the mixing process due to the inhomogeneity in spatial
distribution of a cross-linker. The viscoelastic response of elastomers is
ascribed to the thermally activated processes of breakage and reformation of
strands in the domains with low concentration of junctions. Stress-strain
relations for particle-reinforced rubbers are developed by using the laws of
thermodynamics. Adjustable parameters in the constitutive equations are found
by fitting experimental data in tensile relaxation tests for several grades of
unfilled and carbon black (CB) filled rubber. It is demonstrated that the
relaxation rate is noticeably affected by strains. Unlike glassy polymers,
where the growth of longitudinal strain results in an increase in the rate of
relaxation, the growth of the elongation ratio for natural rubber (unfilled or
CB reinforced) implies a decrease in the relaxation rate, which may be
explained by partial crystallization of chains in the regions with low
concentration of junctions.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:26:41 GMT""}]","2007-05-23"
"cond-mat/0110111","David Lancaster","David Lancaster","Cluster Growth in a Growing Tree Network","9 pages, 7 eps figures, LaTeX/RevTeX",,,,"cond-mat.stat-mech cond-mat.dis-nn",,"  We analyze a simple model for growing tree networks and find that although it
never percolates, there is an anomalously large cluster at finite size. We
study the growth of both the maximal cluster and the cluster containing the
original vertex and find that they obey power laws. This property is also
observed through simulations in a non-linear model with loops and a true
percolating phase.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 12:56:36 GMT""}]","2007-05-23"
"cond-mat/0110112","Hyuntak Kim","Hyun-Tak Kim","Extended Brinkman-Rice Picture and Its Application to High-Tc
  Superconductors","Latex, 17pages, 3figures","""New Trends in Superconductivity"", P. 137 (2002), (Ed. J. F.
  Annett and S. Kruchinin, Kluwer, Dordrecht)",,,"cond-mat.str-el cond-mat.supr-con",,"  This is a full-paper of the paper(Physica C341-348, 259(2000)) published
previously. The effective charge and the Coulomb energy are justified by means
of measurement. Theoretical calculations of the effective mass depending on
band filling are also given by Gutzwiller's variational calculations. On the
basis of the concept of measurement, the effective mass is an average of the
true effective mass in the Brinkman-Rice(BR) picture for metal phase and is the
effect of measurement. The true correlation strength (U/U_c=k_{BR}) in the BR
picture is evaluated as 0.92<k_{BR}<1 for YBCO. High-Tc superconductivity is
attributed to the true effective mass caused by the large k_{BR} value.
Furthermore, the validity of the BR picture is indirectly proved through the
extended BR picture.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 13:53:26 GMT""},{""version"":""v2"",""created"":""Mon, 22 Apr 2002 08:16:15 GMT""}]","2007-05-23"
"cond-mat/0110113","Oliver Duerr","O. Durr, T. Volz, W. Dieterich and A. Nitzan","Dynamic percolation theory for particle diffusion in a polymer network",,,"10.1063/1.1481763",,"cond-mat.soft",,"  Tracer-diffusion of small molecules through dense systems of chain polymers
is studied within an athermal lattice model, where hard core interactions are
taken into account by means of the site exclusion principle. An approximate
mapping of this problem onto dynamic percolation theory is proposed. This
method is shown to yield quantitative results for the tracer correlation factor
of the molecules as a function of density and chain length provided the
non-Poisson character of temporal renewals in the disorder configurations is
properly taken into account.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 14:55:19 GMT""}]","2009-11-07"
"cs/0110018","Robert Cannon","Robert Cannon","ENUM: The Collision of Telephony and DNS Policy","29th TPRC Conference, 2001",,,"TPRC-2001-XXX","cs.GL",,"  ENUM marks either the convergence or collision of the public telephone
network with the Internet. ENUM is an innovation in the domain name system
(DNS). It starts with numerical domain names that are used to query DNS name
servers. The servers respond with address information found in DNS records.
This can be telephone numbers, email addresses, fax numbers, SIP addresses, or
other information. The concept is to use a single number in order to obtain a
plethora of contact information.
  By convention, the Internet Engineering Task Force (IETF) ENUM Working Group
determined that an ENUM number would be the same numerical string as a
telephone number. In addition, the assignee of an ENUM number would be the
assignee of that telephone number. But ENUM could work with any numerical
string or, in fact, any domain name. The IETF is already working on using E.212
numbers with ENUM. [Abridged]
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 17:35:18 GMT""},{""version"":""v2"",""created"":""Mon, 22 Oct 2001 21:02:46 GMT""}]","2007-05-23"
"gr-qc/0110026","Matthias Arnsdorf","Matthias Arnsdorf","Relating Covariant and Canonical Approaches to Triangulated Models of
  Quantum Gravity","28 pages, 10 figures","Class.Quant.Grav. 19 (2002) 1065-1092","10.1088/0264-9381/19/6/304",,"gr-qc",,"  In this paper explore the relation between covariant and canonical approaches
to quantum gravity and $BF$ theory. We will focus on the dynamical
triangulation and spin-foam models, which have in common that they can be
defined in terms of sums over space-time triangulations. Our aim is to show how
we can recover these covariant models from a canonical framework by providing
two regularisations of the projector onto the kernel of the Hamiltonian
constraint. This link is important for the understanding of the dynamics of
quantum gravity. In particular, we will see how in the simplest dynamical
triangulations model we can recover the Hamiltonian constraint via our
definition of the projector. Our discussion of spin-foam models will show how
the elementary spin-network moves in loop quantum gravity, which were
originally assumed to describe the Hamiltonian constraint action, are in fact
related to the time-evolution generated by the constraint. We also show that
the Immirzi parameter is important for the understanding of a continuum limit
of the theory.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 16:28:30 GMT""}]","2009-11-07"
"gr-qc/0110027","Roberto Giambo'","Roberto Giambo', Fabio Giannoni, Giulio Magli","Sufficient condition for Blackhole formation in spherical gravitational
  collapse","5 pages, LaTeX2e","Class.Quant.Grav.19:L5,2002","10.1088/0264-9381/19/2/101",,"gr-qc",,"  A sufficient condition for the validity of Cosmic Censorship in spherical
gravitational collapse is formulated and proved. The condition relies on an
attractive mathematical property of the apparent horizon, which holds if
''minimal'' requirements of physical reasonableness are satisfied by the matter
model.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 17:32:25 GMT""}]","2014-11-17"
"gr-qc/0110028","Alan Barnes","Ugur Camci & Alan Barnes","Ricci Collineations in Friedmann-Robertson-Walker Spacetimes","14 pages, plain TeX, no figures","Class.Quant.Grav. 19 (2002) 393-404",,,"gr-qc",,"  Ricci collineations and Ricci inheritance collineations of
Friedmann-Robertson-Walker spacetimes are considered. When the Ricci tensor is
non-degenerate, it is shown that the spacetime always admits a fifteen
parameter group of Ricci inheritance collineations; this is the maximal
possible dimension for spacetime manifolds. The general form of the vector
generating the symmetry is exhibited. It is also shown, in the generic case,
that the group of Ricci collineations is six-dimensional and coincides with the
isometry group. In special cases the spacetime may admit either one or four
proper Ricci collineations in addition to the six isometries. These special
cases are classified and the general form of the vector fields generating the
Ricci collineations is exhibited. When the Ricci tensor is degenerate, the
groups of Ricci inheritance collineations and Ricci collineations are
infinite-dimensional. General forms for the generating vectors are obtained.
Similar results are obtained for matter collineations and matter inheritance
collineations.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 21:15:02 GMT""}]","2007-05-23"
"gr-qc/0110029","Dr. Bikash Chandra Paul","Bikash Chandra Paul (North Bengal University) and Arindam Saha
  (Jalpaiguri)","Probability for Primordial Black Holes in Higher Derivative Theories","15 pages, No figures. accepted in Int. J. Mod. Phys. D (2001)","Int.J.Mod.Phys. D11 (2002) 493-502","10.1142/S0218271802001810",,"gr-qc",,"  The probability for quantum creation of an inflationary universe with a pair
of black holes in higher derivative theories has been studied. Considering a
gravitational action which includes quadratic ($\alpha R^{2}$) and/or cubic
term ($\beta R^{3}$) in scalar curvature in addition to a cosmological constant
($\Lambda$) in semiclassical approximation with Hartle-Hawking boundary
condition, the probability has been evaluated. The action of the instanton
responsible for creating such a universe, with spatial section with
$S^{1}XS^{2}$ topology, is found to be less than that with a spatial $S^{3}$
topology, unless $\alpha < - \frac{1}{8 \Lambda}$ in $R^{2}$-theory. In the
$R^{3}$ theory, however, there exists a set of solutions without a cosmological
constant when $\beta R^{2} = 1$ and $\alpha = - 3 \sqrt{\beta}$ which admit
primordial black holes (PBH) pair in an inflationary universe scenario. We note
further that when $\beta R^{2} \neq 1$, one gets PBH pairs in the two cases :
(i) with $\alpha$ and $\Lambda$ both positive and (ii) with $\Lambda$ positive
and $\alpha$ negative satisfying a constraint $6 | \alpha | \Lambda > 1$.
However, the relative probability for creation of an inflationary universe with
a pair of black holes in the $R^{3}$-theory suppresses when $\alpha > - 2
\sqrt{\beta} $ or $|\alpha| < 2 \sqrt{\beta} $. However, if the above
constraints are relaxed one derives interesting results leading to a universe
with PBH in $R^{3}$-theory without cosmological constant. PACS No(s). :
04.20.Jb, 04.60.+n, 98.80.Hw
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 06:27:04 GMT""}]","2009-11-07"
"gr-qc/0110030","Dumitru Vulcanov","Ion I. Cotaescu, Dumitru N. Vulcanov (West Univ. of Timisoara,
  Romania)","Remarks on a solvable cosmological model","9 pages, 8 figures, Latex",,,,"gr-qc",,"  We present an exact analytical solution of the Einstein equations with
cosmological constant in a spatially flat Robertson-Walker metric. This is
interpreted as an isotropic Lemaitre-type version of the cosmological Friedmann
model. Implications in the recent discovered cosmic acceleration of the
universe and in the theory of an inflationary model of the universe are in
view. Some properties of this solution are pointed out as a result of numerical
investigations of the model.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 07:15:23 GMT""}]","2016-08-31"
"gr-qc/0110031","Dumitru Vulcanov","Dumitru N. Vulcanov, Miguel Alcubierre (Max-Planck-Institut fur
  Gravitationsphysik, Albert-Einstein-Institut, Golm, Germany)","Testing the Cactus code on exact solutions of the Einstein field
  equations","18 pages, 18 figures, Latex","Int.J.Mod.Phys. C13 (2002) 805-822","10.1142/S0129183102003577",,"gr-qc",,"  The article presents a series of numerical simulations of exact solutions of
the Einstein equations performed using the Cactus code, a complete
3-dimensional machinery for numerical relativity. We describe an application
(``thorn'') for the Cactus code that can be used for evolving a variety of
exact solutions, with and without matter, including solutions used in modern
cosmology for modeling the early stages of the universe. Our main purpose has
been to test the Cactus code on these well-known examples, focusing mainly on
the stability and convergence of the code.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 11:19:09 GMT""},{""version"":""v2"",""created"":""Mon, 4 Mar 2002 11:00:26 GMT""}]","2009-11-07"
"gr-qc/0110032","Barrabes","C.Barrabes and P.A. Hogan","Aichelburg-Sexl boost of an isolated source in general relativity","25 pages, LateX2e","Phys.Rev. D64 (2001) 044022","10.1103/PhysRevD.64.044022",,"gr-qc",,"  A study of the Aichelburg--Sexl boost of the Schwarzschild field is described
in which the emphasis is placed on the field (curvature tensor) with the metric
playing a secondary role. This is motivated by a description of the Coulomb
field of a charged particle viewed by an observer whose speed relative to the
charge approaches the speed of light. Our approach is exemplified by carrying
out an Aichelburg-- Sexl type boost on the Weyl vacuum gravitational field due
to an isolated axially symmetric source. Detailed calculations of the boosts
transverse and parallel to the symmetry axis are given and the results, which
differ significantly, are discussed.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 12:39:58 GMT""}]","2009-11-07"
"gr-qc/0110033","Ioannis Raptis","A. Mallios and I. Raptis","Finitary Cech-de Rham Cohomology: much ado without smoothness","48 pages, last, extended and further corrected version; to appear in
  the October (2002) issue of the International Journal of Theoretical Physics","Int.J.Theor.Phys. 41 (2002) 1857-1902",,,"gr-qc",,"  The present paper is a continuation of our work on curved finitary spacetime
sheaves of incidence algebras and treats the latter along Cech cohomological
lines. In particular, we entertain the possibility of constructing a
non-trivial de Rham complex on these finite dimensional algebra sheaves along
the lines of the first author's axiomatic approach to differential geometry via
the theory of vector and algebra sheaves. The upshot of this study is that
important `classical' differential geometric constructions and results usually
thought of as being intimately associated with smooth manifolds carry through,
virtually unaltered, to the finitary-algebraic regime with the help of some
quite universal, because abstract, ideas taken mainly from sheaf-cohomology as
developed in the first author's Abstract Differential Geometry theory. At the
end of the paper, and due to the fact that the incidence algebras involved have
been previously interpreted as quantum causal sets, we discuss how these ideas
may be used in certain aspects of current research on discrete Lorentzian
quantum gravity.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 14:58:50 GMT""},{""version"":""v10"",""created"":""Sat, 31 Aug 2002 09:03:12 GMT""},{""version"":""v2"",""created"":""Mon, 8 Oct 2001 11:23:47 GMT""},{""version"":""v3"",""created"":""Mon, 8 Oct 2001 22:49:21 GMT""},{""version"":""v4"",""created"":""Tue, 9 Oct 2001 22:37:06 GMT""},{""version"":""v5"",""created"":""Thu, 1 Nov 2001 12:53:31 GMT""},{""version"":""v6"",""created"":""Fri, 2 Nov 2001 15:25:34 GMT""},{""version"":""v7"",""created"":""Wed, 14 Nov 2001 15:25:20 GMT""},{""version"":""v8"",""created"":""Mon, 26 Nov 2001 13:40:48 GMT""},{""version"":""v9"",""created"":""Fri, 18 Jan 2002 13:59:50 GMT""}]","2007-05-23"
"hep-ex/0110011","Victor V. Abramov","V. V. Abramov, A. S. Dyshkant, V. N. Evdokimov, P. I. Goncharov, A. M.
  Gorin, A. N. Gurzhiev, Yu. P. Korneev, A. V. Kostritskii, A. N. Krinitsyn, V.
  I. Kryshkin, Yu. M. Mel'nik, V. M. Podstavkov, N. I. Sin'kin, S. I.
  Tereshenko, L. K. Turchanovich, A. E. Yakutin, A. A. Zaichenko, V. N.
  Zapol'sky","Production Asymmetry Measurement of High Xt Hadrons in pp Collisions at
  40 GeV","25 pages (Latex), 12 Postscript figures","Nucl.Phys. B492 (1997) 3-17","10.1016/S0550-3213(97)80025-9","IHEP-96-82","hep-ex",,"  Single-spin asymmetries for hadrons have been measured in collisions of
transversely-polarized 40 GeV/c proton beam with an unpolarized liquid hydrogen
target. The asymmetries were measured for pi+-, K+-, protons and antiprotons,
produced in the central region (0.02 < Xf < 0.10 and 0.7 < Pt < 3.4 GeV/c).
Asymmetries for pi+-, K+- and antiprotons show within measurement errors the
linear dependence on Xt and change a sign near 0.37. For protons negative
asymmetry, independent of Xt has been found. The results are compared with
those of other experiments and SU(6) model predictions.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 13:47:45 GMT""}]","2015-06-25"
"hep-ex/0110012","H. Palka","K. Abe, et al. (Belle Collaboration)","Production of Prompt Charmonia in $e^+e^-$ Annihilation at
  $\sqrt{s}\approx 10.6$ GeV","submitted to Phys. Rev. Lett","Phys.Rev.Lett.88:052001,2002","10.1103/PhysRevLett.88.052001","KEK preprint 2001-131, Belle preprint 2001-15","hep-ex",,"  The production of prompt $J/\psi$, $\psi(2S)$, $\chi_{c1}$ and $\chi_{c2}$ is
studied using a $32.4 fb^{-1}$ data sample collected with the Belle detector at
the $\Upsilon(4S)$ and 60 MeV below the resonance. The yield of prompt $J/\psi$
mesons in the $\Upsilon(4S)$ sample is compatible with that of continuum
production; we set an upper limit ${\cal B}(\Upsilon(4S) \to J/\psi X) < 1.9
\times 10^{-4}$ at the 95% confidence level, and find $\sigma(e^{+}e^{-} \to
J/\psi X)=1.47\pm 0.10 \pm 0.13$ pb. The cross-sections for prompt $\psi(2S)$
and direct $J/\psi$ are measured. The $J/\psi$ momentum spectrum, production
angle distribution and polarization are studied.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 15:59:58 GMT""}]","2008-11-26"
