"astro-ph/0104162","Alessandro Melchiorri","Rachel Bean, Steen H. Hansen, Alessandro Melchiorri","Early-universe constraints on a Primordial Scaling Field","5 pages, 4 figures. The revised version includes the new Boomerang
  and DASI data","Phys.Rev.D64:103508,2001","10.1103/PhysRevD.64.103508",,"astro-ph hep-ph",,"  In the past years 'quintessence' models have been considered which can
produce the accelerated expansion in the universe suggested by recent
astronomical observations. One of the key differences between quintessence and
a cosmological constant is that the energy density in quintessence,
$\Omega_\phi$, could be a significant fraction of the overall energy even in
the early universe, while the cosmological constant will be dynamically
relevant only at late times. We use standard Big Bang Nucleosynthesis and the
observed abundances of primordial nuclides to put constraints on $\Omega_\phi$
at temperatures near $T \sim 1MeV$. We point out that current experimental data
does not support the presence of such a field, providing the strong constraint
$\Omega_\phi(MeV) < 0.045$ at $2\sigma$ C.L. and strengthening previous
results. We also consider the effect a scaling field has on CMB anisotropies
using the recent data from Boomerang and DASI, providing the CMB constraint
$\Omega_\phi \le 0.39$ at $2\sigma$ during the radiation dominated epoch.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:56:53 GMT""},{""version"":""v2"",""created"":""Mon, 28 May 2001 08:12:50 GMT""}]","2014-10-13"
"cond-mat/0104203","E. Bauer","E. Bauer, Ch. Paul, St. Berger, S. Majumdar, H. Michor, M. Giovannini,
  A. Saccone, A. Bianconi","Thermal conductivity of superconducting MgB2","12 pages, 4 figures",,,,"cond-mat.supr-con",,"  Thermal conductivity of superconducting MgB2 was studied in both the
superconducting and the normal state region. The latter is almost equally
determined by the electronic - and the lattice contribution to the total
thermal conductivity. In the superconducting state, however, the lattice
contribution is larger. The electronic thermal conductivity below Tc was
derived from the experimental data considering the Bardeen-Rickayzen-Tewordt
theory together with the model of Geilikman. The analysis shows that electron
scattering on static imperfections dominates.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 15:05:00 GMT""},{""version"":""v2"",""created"":""Tue, 17 Apr 2001 13:35:11 GMT""}]","2007-05-23"
"gr-qc/0104028","Mauricio Cataldo","Mauricio Cataldo, Norman Cruz, Sergio del Campo and Samuel Lepe","Holographic principle and the dominant energy condition for Kasner type
  metrics","4 pages, Latex, accepted in Phys. Lett. B","Phys.Lett.B509:138-142,2001","10.1016/S0370-2693(01)00490-7",,"gr-qc",,"  In this letter we study adiabatic anisotropic matter filled Bianchi type I
models of the Kasner form together with the cosmological holographic bound. We
find that the dominant energy condition and the holographic bound give
precisely the same constraint on the scale factor parameters that appear in the
metric.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 21:53:19 GMT""},{""version"":""v2"",""created"":""Thu, 12 Apr 2001 13:37:47 GMT""}]","2009-02-05"
"hep-ex/0104018","Garmash Alexei","A. Garmash (for the Belle Collaboration)","Charmless B decays into three charged track final states","4 pages, Proceedings of the 4th International Conference on B Physics
  & CP Violation, Ise-Shima, Japan, February 19 - 23, 2001",,"10.1142/9789812811219_0017",,"hep-ex",,"  Using a data sample of 10.5 1/fb collected by the Belle detector, three-body
charmless decays B+ --> K+h+h- have been studied. The following branching
fractions have been obtained: Br(B+ --> K+pi-pi+) = (64.8+-10.0+-7.0) x 10**-6
and Br(B+ --> K+K-K+) = (36.5+-6.1+-5.5) x 10**-6. The upper limits for other
combinations of charged kaons and pions have been placed. Analysis of the
intermediate two-body states gives evidence for production of scalar resonances
in charmless B decays.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 07:39:26 GMT""}]","2019-08-14"
"hep-ex/0104019","Miriam Giorgini","M. Giorgini (Bologna University and INFN) and S. Manzoor (PINSTECH
  Lab., Islamabad, Pakistan) (for the EMU18 Collaboration)","Fragmentation of very high energy heavy ions","4 pages, 3 EPS figures included with epsf, uses article.sty Talk
  presented by M. Giorgini at the Int. Conf. on Structure of the Nucleus at the
  Dawn of the Century, Bologna (Italy), May 29-June 3, 2000",,"10.1142/9789812810939_0018","2001-04","hep-ex",,"  A stack of CR39 (C12H18O7)n nuclear track detectors with a Cu target was
exposed to a 158 A GeV lead ion beam at the CERN-SPS, in order to study the
fragmentation properties of lead nuclei.
  Measurements of the total, break-up and pick-up charge-changing cross
sections of ultrarelativistic Pb ions on Cu and CR39 targets are presented and
discussed.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 11:14:14 GMT""}]","2019-08-14"
"hep-ex/0104020","Jan Timmermans","The DELPHI Collaboration, P. Abreu, et al","Searches for Neutral Higgs Bosons in e+e- Collisions around sqrt(s) =
  189 GeV","36 pages, 21 figures, see also Addendum in hep-ex/0104021","Eur.Phys.J.C17:187-205,2000; Addendum-ibid.C17:549-551,2000","10.1007/s100520000401","CERN-EP-2000-038","hep-ex",,"  Searches for neutral Higgs bosons in the Standard Model and the MSSM have
been performed using data collected by the DELPHI experiment at a
centre-of-mass energy of 188.7 GeV, corresponding to an integrated luminosity
of 158 pb^{-1}. These analyses are used, in combination with our results from
lower energies, to set new 95% confidence level lower mass bounds on the
Standard Model Higgs boson (94.6 GeV/c^2) and on the lightest neutral scalar
(82.6 GeV/c^2) and neutral pseudoscalar (84.1 GeV/c^2) Higgs bosons in a
representative scan of the MSSM parameters. The results are also interpreted in
the framework of a general two-Higgs doublet model.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 12:50:06 GMT""}]","2010-04-08"
"hep-ex/0104021","Jan Timmermans","The DELPHI Collaboration","Addendum to: Searches for Neutral Higgs Bosons in e+e- Collisions around
  sqrt(s) = 189 GeV","5 pages, 3 figures; this is Addendum to Eur. Phys. J. C17(2000)187
  (hep-ex/0104020)","Eur. Phys. J. C 17 (2000) 549-551",,,"hep-ex",,"  A more general MSSM parameter scan is described
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 13:16:55 GMT""}]","2012-08-27"
"hep-ex/0104022","Miriam Giorgini","S. Cecchini (Bologna CNR-TESRE and INFN), G. Giacomelli (Bologna
  University and INFN), M. Giorgini (Bologna University and INFN), L. Patrizii
  (Bologna INFN) and P. Serra (Bologna University and INFN)","New calibrations and time stability of the response of the INTERCAST
  CR-39","9 pages, 4 EPS figures, .pdf file. Talk presented by M. Giorgini at
  the 20 Int. Conf. on Nuclear Tracks in Solids, Portoroz (Slovenia), Aug
  28-Sep 1, 2000","Radiat.Meas.34:55-59,2001","10.1016/S1350-4487(01)00120-2","DFUB 2001-05","hep-ex",,"  We present new calibrations of different production batches (from 1989 to
1999) of the INTERCAST CR-39, using the BNL-AGS 1 A GeV iron beam. The
comparison with previous results, obtained with the 158 A GeV lead beam from
the CERN-SPS shows that, while each production batch has a different
calibration curve (mainly due to minor differences in the production
conditions), the aging effect is negligible. We also tested the dependence of
the CR-39 response from the time elapsed between exposure and analysis (fading
effect). The fading effect, if present, is less than 10%. It may be compatible
with the experimental uncertainties on the bulk etching rate vB.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 14:42:31 GMT""}]","2014-11-17"
"hep-lat/0104005","Andrea Montanari","Andrea Montanari","Non-Perturbative Renormalization in Lattice Field Theory","Ph.D. thesis, 146 pages, 82 eps figures",,,"SNS-TH-2001-6","hep-lat",,"  Non-perturbative renormalization of lattice composite operators plays a
crucial role in many applications of lattice field theory. We sketch the
general problems involved in this task and the methods which are currently used
to cope with them. We present a detailed investigation of a new approach based
on the operator product expansion. We test the new method on the
two-dimensional O(3) sigma-model and discuss its advantages and limitations.
Ph.D. thesis at Scuola Normale Superiore, Pisa, Italy.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 11:35:15 GMT""}]","2007-05-23"
"hep-ph/0104095","Danny Marfatia","V. Barger, D. Marfatia, K. Whisnant and B. P. Wood","Earth Regeneration of Solar Neutrinos at SNO and Super-Kamiokande","Minor changes to the text and references","Phys.Rev.D64:073009,2001","10.1103/PhysRevD.64.073009","MADPH-01-1224, AMES-HET-01-04","hep-ph astro-ph hep-ex nucl-th",,"  We analyze the 1258-day Super-Kamiokande day and night solar neutrino energy
spectra with various $\chi^2$ definitions. The best-fit lies in the LMA region
at $(\Delta m^2, tan^2 \theta)=(5.01\times 10^{-5} eV^2, 0.60)$, independently
of whether systematic errors are included in the $\chi^2$-definition. We
compare the exclusion and allowed regions from the different definitions and
choose the most suitable definition to predict the regions from SNO at the end
of three years of data accumulation. We first work under the assumption that
Super-Kamiokande sees a flux-suppressed flat energy spectrum. Then, we consider
the possibility of each one of the three MSW regions being the solution to the
solar neutrino problem. We find that the exclusion and allowed regions for the
flat spectrum hypothesis and the LMA and LOW solutions are alike. In three
years, we expect SNO to find very similar regions to that obtained by
Super-Kamiokande. We evaluate whether the zenith angle distribution at SNO with
optimum binning will add anything to the analysis of the day and night spectra;
for comparison, we show the results of our analysis of the 1258-day zenith
angle distribution from Super-Kamiokande, for which the best-fit parameters are
$(\Delta m^2, tan^2 \theta)=(5.01\times 10^{-5} eV^2, 0.56)$.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 22:18:18 GMT""},{""version"":""v2"",""created"":""Wed, 11 Apr 2001 21:32:17 GMT""}]","2010-05-28"
"hep-ph/0104098","Grunberg","Georges Grunberg","Conformal window and Landau singularities","35 pages, 1 figure, JHEP style. A new section added to point out the
  results give some justification to the infrared finite coupling approach to
  power corrections, and suggest a way to compute their normalization from
  perturbative input","JHEP 0108 (2001) 019","10.1088/1126-6708/2001/08/019","CPTh/S 016.0401","hep-ph hep-th",,"  A physical characterization of Landau singularities is emphasized, which
should trace the lower boundary N_f^* of the conformal window in QCD and
supersymmetric QCD. A natural way to disentangle ``perturbative'' from
  ``non-perturbative'' contributions below N_f^* is suggested. Assuming an
infrared fixed point is present in the perturbative part of the QCD coupling
even in some range below N_f^* leads to the condition gamma(N_f^*)=1, where
gamma is the critical exponent. This result is incompatible with the existence
of an analogue of Seiberg free dual magnetic phase in QCD. Using the Banks-Zaks
expansion, one gets
  4<N_f^*<6. The low value of N_f^* gives some justification to the infrared
finite coupling approach to power corrections, and suggests a way to compute
their normalization from perturbative input. If the perturbative series are
still asymptotic in the negative coupling region, the presence of a negative
ultraviolet fixed point is required both in QCD and in supersymmetric QCD to
preserve causality within the conformal window. Some evidence for such a fixed
point in QCD is provided through a modified Banks-Zaks expansion. Conformal
window amplitudes, which contain power contributions, are shown to remain
generically finite in the N_f=-\infty one-loop limit in simple models with
infrared finite perturbative coupling.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 16:16:44 GMT""},{""version"":""v2"",""created"":""Wed, 9 May 2001 15:53:13 GMT""}]","2016-09-06"
"hep-ph/0104099","Johannes Bluemlein","Johannes Bl\""umlein","On the Anomalous Dimension of the Transversity Distribution $h_1(x,Q^2)$","9 pages LATEX, 2 style files, more references added, to appear in
  Eur. Phys J. C","Eur.Phys.J.C20:683-687,2001","10.1007/s100520100703","DESY 01-032","hep-ph hep-ex",,"  We calculate the leading order anomalous dimension of the transversity
structure function directly using three different methods, the local light-cone
expansion in the forward case, the non-forward case, and the short-distance
expansion of the forward Compton amplitude. Our results agree with the original
calculation by Artru and Mekhfi [Z. Phys. {\bf 45} (1990) 669], which has been
doubted recently. We also comment on the next-to-leading order anomalous
dimension.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:01:10 GMT""},{""version"":""v2"",""created"":""Tue, 15 May 2001 13:50:03 GMT""}]","2009-01-07"
"hep-ph/0104100","Patrick Crotty","Daniel J. H. Chung, Patrick Crotty, Edward W. Kolb, Antonio Riotto","On the gravitational production of superheavy dark matter","26 pages, 7 figures; LaTeX; submitted to Physical Review D; minor
  typographical error corrected","Phys.Rev.D64:043503,2001","10.1103/PhysRevD.64.043503","FERMILAB-Pub-01/047-A; MCTP-01-16","hep-ph",,"  The dark matter in the universe can be in the form of a superheavy matter
species (WIMPZILLA). Several mechanisms have been proposed for the production
of WIMPZILLA particles during or immediately following the inflationary epoch.
Perhaps the most attractive mechanism is through gravitational particle
production, where particles are produced simply as a result of the expansion of
the universe. In this paper we present a detailed numerical calculation of
WIMPZILLA gravitational production in hybrid-inflation models and
natural-inflation models. Generalizing these findings, we also explore the
dependence of the gravitational production mechanism on various models of
inflation. We show that superheavy dark matter production seems to be robust,
with Omega_X h^2 ~ (M_X / (10^11 GeV))^2 (T_RH / (10^9 GeV)), so long as M_X <
H_I, where M_X is the WIMPZILLA mass, T_RH is the reheat temperature, and H_I
is the expansion rate of the universe during inflation.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 18:25:05 GMT""},{""version"":""v2"",""created"":""Wed, 11 Apr 2001 17:26:46 GMT""}]","2008-11-26"
"hep-ph/0104101","Maurizio Piai","A. Masiero, M. Piai (SISSA, Trieste & INFN, Trieste), A.Romanino
  (FNAL, Batavia IL), L. Silvestrini (INFN and Roma ""La Sapienza"", Roma)","Signals of Supersymmetric Flavour Models in B Physics","18 pages, 7 figures, 3 of which in color","Phys.Rev.D64:075005,2001","10.1103/PhysRevD.64.075005",,"hep-ph",,"  If the mechanism of Supersymmetry breaking is not flavour blind, some flavour
symmetry is likely to be needed to prevent excessive flavour changing neutral
current effects. We discuss two flavour models (based respectively on a U(2)
and on a SU(3) horizontal symmetry) providing a good fit to fermion masses and
mixings and particularly constraining the supersymmetry soft breaking terms. We
show that, while reproducing successfully the Standard Model fit of the
unitarity triangle, it is possible to obtain sizable deviations from the
Standard Model predictions for three very clean B-physics observables: the time
dependent CP asymmetries in $B_d \to J/\psi K^0$ and in $B_s \to J/\psi \phi$
and the $B_s-\bar{B}_s$ mass difference. Our analysis exhibits with two
explicit realizations that in supersymmetric theories with a new flavour
structure in addition to the Yukawa matrices there exist concrete
potentialities for revealing supersymmetry indirectly in theoretically clean
$B$-physics observables.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:00:31 GMT""}]","2014-11-17"
"hep-ph/0104102","Li DeMin","De-Min Li, Hong Yu, Qi-Xing Shen","Effects of Flavor-dependent $q\bar{q}$ Annihilation on the Mixing Angle
  of the Isoscalar Octet-Singlet and Schwinger's Nonet Mass Formula","Latex, 7 pages","Chin.Phys.Lett. 18 (2001) 184-186","10.1088/0256-307X/18/2/310",,"hep-ph",,"  By incorporating the flavor-dependent quark-antiquark annihilation amplitude
into the mass-squared matrix describing the mixing of the isoscalar states of a
meson nonet, the new version of Schwinger's nonet mass formula which holds with
a high accuracy for the $0^{-+}$, $1^{--}$, $2^{++}$, $2^{-+}$ and $3^{--}$
nonets is derived and the mixing angle of isoscalar octet-singlet for these
nonets is obtained. In particular, the mixing angle of isoscalar octet-singlet
for pseudoscalar nonet is determined to take the value of $-12.92^\circ$, which
is in agreement with the value of $-13^\circ\sim-17^\circ$ deduced from a
rather exhaustive and up-to-date analysis of data. It is also pointed out that
the omission of the flavor-dependent $q\bar{q}$ annihilation effect might be a
factor resulting in the invalidity of Schwinger's original nonet mass formula
for pseudoscalar nonet.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 01:57:12 GMT""}]","2009-11-07"
"hep-ph/0104103","Masahiro Yamaguchi","Mitsuru Kakizaki and Masahiro Yamaguchi","Splitting Triplet and Doublet in Extra Dimensions","9 pages, 2 figures, some references added","Prog.Theor.Phys. 107 (2002) 433-441","10.1143/PTP.107.433","TU-616","hep-ph",,"  A novel mechanism to realize the triplet-doublet splitting in supersymmetric
SU(5) grand unified theories is proposed in the framework of higher dimensional
theories where chiral multiplets are localized due to kink configuration of a
SU(5) singlet. An adjoint Higgs field which spontaneously breaks the SU(5)
gauge symmetry is assumed to be involved with the localization process,
splitting the wave functions of the color-triplet Higgs from its doublet
counterpart. The resulting effective four-dimensional theory does not possess
manifest SU(5) invariance. By adjusting couplings, the doublet mass can be
exponentially suppressed. We also show that dimension 5 proton decay from
triplet Higgs exchange can be suppressed to a negligible level.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 04:55:07 GMT""},{""version"":""v2"",""created"":""Tue, 17 Apr 2001 03:37:26 GMT""}]","2017-03-08"
"hep-ph/0104104","Ambar Ghosal","Ambar Ghosal, Yoshio Koide, Hideo Fusaoka","Lepton Flavor Violating Z Decays in the Zee Model","12 pages, RevTex, 2 figures, 3 Tables, typos corrected, reference
  added, version to appear in Phys. Rev. D","Phys.Rev. D64 (2001) 053012","10.1103/PhysRevD.64.053012","US-01-01, AMU-01-01, April 2001","hep-ph",,"  We calculate lepton flavor violating (LFV) Z decays Z \to {{e_i^\pm}}e_j^\mp
(i, j = e, \mu, \tau ; i\neq j) in the Zee model keeping in view the radiative
leptonic decays e_i\to e_j\gamma (i = \mu, \tau ; j = e, \mu ; i\neq j), \mu
decay and anomalous muon magnetic moment (\mu AMM). We investigate three
different cases of Zee f_{ij} coupling (A) f_{e\mu}^2 = f_{\mu\tau}^2= f_{\tau
e}^2, (B) f_{e\mu}^2 \gg f_{\tau e}^2 \gg f_{\mu\tau}^2, and (C) f_{\mu\tau}^2
\gg f_{e\mu}^2 \gg f_{\tau e}^2 subject to the neutrino phenomenology.
Interestingly, we find that, although the case (C) satisfies the large excess
value of \mu AMM, however, it is unable to explain the solar neutrino
experimental result, whereas the case (B) satisfies the bi-maximal neutrino
mixing scenario, but confronts with the result of \mu AMM experiment. We also
find that among all the three cases, only the case (C) gives rise to largest
contribution to the ratio B(Z\to e^\pm\tau^\mp)/B(Z\to \mu^\pm \mu^\mp) \simeq
{10}^{-8} which is still two order less than the accessible value to be probed
by the future linear colliders, whereas for the other two cases, this ratio is
too low to be observed even in the near future for all possible LFV Z decay
modes.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 05:36:43 GMT""},{""version"":""v2"",""created"":""Fri, 25 May 2001 02:50:15 GMT""}]","2009-11-07"
"hep-ph/0104105","Z. Hioki","Zenro Hioki","Probing Anomalous Top-Couplings through the Final Lepton Angular and
  Energy Distributions at Polarized NLC","9 pages, Latex, one latex-figure + two eps-figures, Talk at Theory
  Meeting on Physics at Linear Colliders, March 15 - 17, 2001, KEK, Japan",,,,"hep-ph hep-ex",,"  The angular and energy distributions of the final lepton in e ebar t tbar -->
l^{+-} X at next linear colliders (NLC) are analyzed a model-independent way
for arbitrary longitudinal beam polarizations as sensitive tests of possible
anomalous top-quark couplings. The angular-energy distribution is expressed as
a combination of independent functions of the angle and the energy, where each
anomalous parameter is the coefficient of an individual term. Every parameter
could be thereby determined simultaneously via the optimal-observable
procedure. On the other hand, anomalous tbW couplings totally decouple from the
angular distribution, which enables us to study t-tbar-gamma/Z couplings
exclusively.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 06:07:12 GMT""}]","2007-05-23"
"hep-ph/0104106","Catherine Bourge","Francois Richard","The reach of a future Linear Collider after the g-2 result","8 pages, 2 figures",,,"LAL 01-16","hep-ph",,"  Combining the cosmological requirement on dark matter with the recent BNL g-2
measurement it is argued that, within the mSUGRA framework, the preferred
region for SUSY mass parameters falls well inside the area covered by the
future linear colliders under consideration for right handed sleptons and of
the 2 lightest neutralinos. The coverage for the lightest chargino and left
handed sleptons is also favoured but with smaller confidence.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 08:31:34 GMT""}]","2007-05-23"
"hep-ph/0104107","Aleksander Filip Zarnecki","A.F.Zarnecki","Contact Interactions, Large Extra Dimensions and Leptoquarks at THERA","23 pages, 9 figures, 7 tables","Acta Phys.Polon. B33 (2002) 619-640",,,"hep-ph",,"  The sensitivity of THERA to different models of ""new physics"" has been
studied, both for the contact interaction approximation and for the resonance
production. For contact interaction models conserving parity, scales up to
about 18 TeV can be explored at THERA, extending considerably beyond the
existing bounds. Significant improvement of existing limits is also expected
for models with large extra dimensions. Effective Plank mass scales up to about
2.8 TeV can be probed. THERA will be the best machine to study leptoquark
properties, for leptoquark masses up to about 1 TeV. It will be sensitive to
the leptoquark Yukawa couplings down to lambda ~ 0.01.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 12:16:58 GMT""}]","2007-05-23"
"hep-ph/0104108","Michael Lublinsky","E. Levin and M. Lublinsky","Parton densities and saturation scale from non-linear evolution in DIS
  on nuclei","19 pages, 28 figures","Nucl.Phys.A696:833-850,2001","10.1016/S0375-9474(01)01132-0","TAUP-2670-2001","hep-ph",,"  We present the numerical solution of the non-linear evolution equation for
DIS on nuclei for $x = 10^{-2} \div 10^{-7}$. We demonstrate that the solution
to the non-linear evolution equation is quite different from the Glauber -
Mueller formula which was used as the initial condition for the equation.
  We illustrate the energy profit for performing DIS experiments on nuclei.
  However, it turns out that the gain is quite modest: $x_{Au} \simeq 5 x_{\rm
proton} $ for the same parton density.
  We find that the saturation scale $Q^2_s \propto A^{{1/3}}$. For gold the
saturation scale $Q_{s,Au} \simeq 1.5 GeV$ at $x= 10^{-3}$. Such a large value
leads to considerable contribution of the high density QCD phase to RHIC data
and reveals itself in essential damping for both $xG_A$ and $F_{2A}$.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 13:49:46 GMT""}]","2014-11-17"
"hep-ph/0104109","Helmut Eberl","H. Eberl, M. Kincel, W. Majerotto, and Y. Yamada","One-loop corrections to the chargino and neutralino mass matrices in the
  on-shell scheme","One reference added, typo in eq. (20) corrected","Phys.Rev. D64 (2001) 115013","10.1103/PhysRevD.64.115013","HEPHY-PUB 738/01, TU-615","hep-ph",,"  We present a consistent procedure for the calculation of the one-loop
corrections to the charginos and neutralinos by using their on-shell mass
matrices. The on-shell gaugino mass parameters M and M', and the Higgsino mass
parameter \mu are defined by the elements of these on-shell mass matrices. The
on-shell mass matrices are different by finite one-loop corrections from the
tree-level ones given in terms of the on-shell parameters. When the on-shell M
and \mu are determined by the chargino sector, the neutralino masses receive
corrections up to 4%. This must be taken into account in precision measurements
at future e^+ e^- linear colliders.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 14:09:48 GMT""},{""version"":""v2"",""created"":""Thu, 26 Apr 2001 09:44:03 GMT""}]","2009-11-07"
"hep-ph/0104111","Dimitri Melikhov","D. Melikhov","On vanishing of the factorizable $c\bar c$ contribution in the radiative
  $B \to K^*\gamma$ decay","revtex, 4 pages","Phys.Lett. B516 (2001) 61-64","10.1016/S0370-2693(01)00931-5",,"hep-ph",,"  We argue that the factorizable $c\bar c$ long- and short-distance
contributions to the $B\to K^*\gamma$ amplitude vanish, separately, if defined
in a gauge-invariant way. Therefore, the $c\bar c$ states contribute to the
radiative decay only through the non-factorizable soft-gluon exchanges.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 15:12:46 GMT""}]","2009-11-07"
"hep-ph/0104112","Mariano Quiros","A. Delgado, G. v. Gersdorff, P. John and M. Quiros","One-loop Higgs mass finiteness in supersymmetric Kaluza-Klein theories","8 pages, 1 figure. The discussion on the distribution giving rise to
  couplings suppressed by exp(-M/Lambda) is revised and the result is finite
  and equals that of the Gaussian case","Phys.Lett. B517 (2001) 445-449","10.1016/S0370-2693(01)00989-3","IEM-FT-213/01, IFT-UAM/CSIC-01-12","hep-ph",,"  We analyze the one-loop ultraviolet sensitivity of the Higgs mass in a
five-dimensional supersymmetric theory compactified on the orbifold S^1/Z_2,
with superpotential localized on a fixed-point brane. Four-dimensional
supersymmetry is broken by Scherk-Schwarz boundary conditions. Kaluza-Klein
interactions are regularized by means of a brane Gaussian distribution along
the extra dimension with length l_s\simeq\Lambda^{-1}_s, where \Lambda_s is the
cutoff of the five-dimensional theory. The coupling of the n-mode, with mass
M^{(n)}, acquires the n-dependent factor exp{-(M^{(n)}/\Lambda_s)^2/2}, which
makes it to decouple for M^{(n)}\gg \Lambda_s. The sensitivity of the Higgs
mass on \Lambda_s is strongly suppressed and quadratic divergences cancel by
supersymmetry. The one-loop correction to the Higgs mass is finite and equals,
for large values of \Lambda_s, the value obtained by the so-called
KK-regularization.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 15:17:59 GMT""},{""version"":""v2"",""created"":""Tue, 28 Aug 2001 17:36:02 GMT""}]","2009-11-07"
"hep-th/0104090","Krajewski Thomas","T. Krajewski and M. Schnabl","Exact solitons on noncommutative tori","22 pages, JHEP style, typos corrected and references improved","JHEP 0108:002,2001","10.1088/1126-6708/2001/08/002","SISSA 22/2001/FM/EP","hep-th",,"  We construct exact solitons on noncommutative tori for the type of actions
arising from open string field theory. Given any projector that describes an
extremum of the tachyon potential, we interpret the remaining gauge degrees of
freedom as a gauge theory on the projective module determined by the tachyon.
Whenever this module admits a constant curvature connection, it solves exactly
the equations of motion of the effective string field theory. We describe in
detail such a construction on the noncommutative tori. Whereas our exact
solution relies on the coupling to a gauge theory, we comment on the
construction of approximate solutions in the absence of gauge fields.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 17:21:12 GMT""},{""version"":""v2"",""created"":""Mon, 23 Apr 2001 17:17:26 GMT""}]","2010-02-03"
"hep-th/0104095","Mukund Rangamani","Mukund Rangamani (Princeton U.)","Reverse Engineering ADHM Construction from Non-Commutative Instantons","16 pages, Latex, references added",,,,"hep-th",,"  We study the non-commutative instanton solution proposed in hep-th/0009142
and obtain the spectrum of small oscillations. The spectrum thus obtained is in
exact agreement with the spectrum of stringy excitations in a configuration of
point like D0 branes sitting on top of D4-branes with a uniform magnetic field
turned on in the world-volume of the D4-branes in the Seiberg-Witten decoupling
limit. This provides further evidence for the solution of hep-th/0009142 and
also enables us recover the ADHM data from the 0-4 string spectrum.
Generalizations to higher co-dimension solitons are also discussed.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 18:10:49 GMT""},{""version"":""v2"",""created"":""Wed, 2 May 2001 05:36:36 GMT""}]","2007-05-23"
"hep-th/0104096","Frans Klinkhamer","F.R. Klinkhamer, Y.J. Lee","Spectral flow of chiral fermions in nondissipative Yang-Mills gauge
  field backgrounds","REVTeX, 43 pages, v4: final version","Phys.Rev. D64 (2001) 065024","10.1103/PhysRevD.64.065024","KA-TP-09-2001","hep-th hep-ph",,"  Real-time anomalous fermion number violation is investigated for massless
chiral fermions in spherically symmetric SU(2) Yang-Mills gauge field
backgrounds which can be weakly dissipative or even nondissipative. Restricting
consideration to spherically symmetric fermion fields, the zero-eigenvalue
equation of the time-dependent effective Dirac Hamiltonian is studied in
detail. For generic spherically symmetric SU(2) gauge fields in Minkowski
spacetime, a relation is presented between the spectral flow and two
characteristics of the background gauge field. These characteristics are the
well-known ``winding factor,'' which is defined to be the change of the
Chern-Simons number of the associated vacuum sector of the background gauge
field, and a new ``twist factor,'' which can be obtained from the
zero-eigenvalue equation of the effective Dirac Hamiltonian but is entirely
determined by the background gauge field. For a particular class of (weakly
dissipative) Luscher-Schechter gauge field solutions, the level crossings are
calculated directly and nontrivial contributions to the spectral flow from both
the winding factor and the twist factor are observed. The general result for
the spectral flow may be relevant to electroweak baryon number violation in the
early universe.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 18:47:09 GMT""},{""version"":""v2"",""created"":""Mon, 16 Apr 2001 17:31:20 GMT""},{""version"":""v3"",""created"":""Tue, 5 Jun 2001 19:43:56 GMT""},{""version"":""v4"",""created"":""Thu, 6 Sep 2001 17:14:56 GMT""}]","2009-11-07"
