"astro-ph/0111551","Hector DE Vega","H. J. de Vega, J. A. Siebert","Statistical Mechanics of the Self-gravitating gas with two or more kinds
  of Particles","LaTex, 29 pages, 11 .ps figures, expanded version to appear in Phys.
  Rev. E","Phys.Rev. E66 (2002) 016112","10.1103/PhysRevE.66.016112","LPTHE/01-72","astro-ph cond-mat hep-th",,"  We study the statistical mechanics of the self-gravitating gas at thermal
equilibrium with two kinds of particles. We start from the partition function
in the canonical ensemble which we express as a functional integral over the
densities of the two kinds of particles for a large number of particles. The
system is shown to possess an infinite volume limit when (N_1,N_2,V)->infty,
keeping N_1/V^{1/3} and N_2/V^{1/3} fixed. The saddle point approximation
becomes here exact for (N_1,N_2,V)->infty.It provides a nonlinear differential
equation on the particle densities. For the spherically symmetric case, we
compute the densities as functions of two dimensionless physical parameters:
eta_1=G m_1^2 N_1/[V^{1/3} T] and eta_2=G m_2^2 N_2/[V^{1/3} T] (where G is
Newton's constant, m_1 and m_2 the masses of the two kinds of particles and T
the temperature). According to the values of eta_1 and eta_2 the system can be
either in a gaseous phase or in a highly condensed phase.The gaseous phase is
stable for eta_1 and eta_2 between the origin and their collapse values. The
gas is inhomogeneous and the mass M(R) inside a sphere of radius R scales with
R as M(R) propto R^d suggesting a fractal structure. The value of d depends in
general on eta_1 and eta_2 except on the critical line for the canonical ensem-
ble where it takes the universal value d simeq 1.6 for all values of N_1/N_2.
The equation of state is computed.It is found to be locally a perfect gas
equation of state. Thermodynamic functions are computed as functions of eta_1
and eta_2. They exhibit a square root Riemann sheet with the branch points on
the critical canonical line. This treatment is further generalized to the
self-gravitating gas with n-types of particles.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:06:36 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jun 2002 15:35:03 GMT""}]","2009-11-07"
"hep-lat/0111061","John McIntosh","John A.L. McIntosh and Lloyd C.L. Hollenberg","Reaching the continuum limit in lattice gauge theory - without a
  computer","4 pages, 2 figures","Phys.Lett. B538 (2002) 207-212","10.1016/S0370-2693(02)01958-5",,"hep-lat",,"  The scaling slope of the anti-symmetric mass gap M of compact U(1)_{2+1}
lattice gauge theory is obtained analytically in the Hamiltonian formalism
using the plaquette expansion. Based on the first four moments of the
Hamiltonian with respect to a one-plaquette mean field state the results
demonstrate clear scaling of M at and beyond the transition from strong to weak
coupling. The scaling parameters determined agree well with the range of
numerical determinations available.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 07:25:50 GMT""}]","2015-06-25"
"hep-lat/0111062","Karl Jansen","Karl Jansen","Overlap and domain wall fermions: what is the price of chirality?","Contribution to Lattice2001 (panel discussion), Latex, 2 pages, 1
  figure","Nucl.Phys.Proc.Suppl. 106 (2002) 191-192","10.1016/S0920-5632(01)01660-7","DESY 01-164","hep-lat",,"  In this contribution the costs of simulations employing domain wall and
overlap fermions are estimated. In the discussion we will stay within the
quenched approximation.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 08:48:52 GMT""}]","2009-11-07"
"hep-lat/0111063","Massimo D'Elia","A. Di Giacomo","Investigating QCD Vacuum on the lattice","Presented at the International Workshop ""Light cone physics:
  Particles and Strings"", Trento september 2001. To appear in the Proceedings","Nucl.Phys.Proc.Suppl.108:21-28,2002","10.1016/S0920-5632(02)01300-2","IFUP-TH 39/2001","hep-lat",,"  Investigations on the structure of QCD vacuum from first principles can be
done on the lattice. The mechanism of confinement is an example: results from
lattice on it are reviewed.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:11:12 GMT""}]","2008-11-26"
"hep-lat/0111064","Sandor D. Katz","Z. Fodor, S.D. Katz","The critical point of lattice QCD on the \mu-T plane","5 pages, 3 Figures. Talk given at EPS HEP2001, July 12-18,2001
  Budapest",,,,"hep-lat",,"  We propose a method to study lattice QCD at finite temperature and chemical
potential. We compare it with direct results and with the Glasgow method by
using n_f=4 QCD at Im(\mu)\neq 0. We locate the critical endpoint (E) of QCD on
the Re(\mu)-T plane. In this study we use n_f=2+1 dynamical staggered quarks
with semi-realistic masses on L_t=4 lattices.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:17:45 GMT""}]","2007-05-23"
"hep-ph/0111391","Ma Jian-ping","J.P.Ma and J.S. Xu","Soft Gluon Approach for Diffractive Photoproduction of J/psi","25 pages, 6 figures. Tiny changes in two figures, conclusion and text
  unchanged, accpeted by Nucl. Phys. B","Nucl.Phys. B640 (2002) 283-308","10.1016/S0550-3213(02)00500-X","As-ITP-2001-018","hep-ph hep-ex",,"  We study diffractive photoproduction of $J/\psi$ by taking the charm quark as
a heavy quark. A description of nonperturbative effect related to $J/\psi$ can
be made by using NRQCD. In the forward region of the kinematics, the
interaction between the $c\bar c$-pair and the initial hadron is due to
exchange of soft gluons. The effect of the exchange can be studied by using the
expansion in the inverse of the quark mass $m_c$. At the leading order we find
that the nonperturbative effect related to the initial hadron is represented by
a matrix element of field strength operators, which are separated in the moving
direction of $J/\psi$ in the space-time. The S-matrix element is then obtained
without using perturbative QCD and the results are not based on any model.
Corrections to the results can be systematically added. Keeping the dominant
contribution of the S-matrix element in the large energy limit we find that the
imaginary part of the S-matrix element is related to the gluon distribution for
$x\to 0$ with a reasonable assumption, the real part can be obtained with
another approximation or with dispersion relation. Our approach is different
than previous approaches and also our results are different than those in these
approaches. The differences are discussed in detail. A comparison with
experiment is also made and a qualitative agreement is found.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:45:30 GMT""},{""version"":""v2"",""created"":""Sat, 9 Mar 2002 02:38:16 GMT""},{""version"":""v3"",""created"":""Mon, 13 May 2002 06:20:16 GMT""},{""version"":""v4"",""created"":""Thu, 20 Jun 2002 01:00:19 GMT""}]","2010-04-05"
"hep-ph/0111418","Marco Picariello","P. Aliani, V. Antonelli, M. Picariello, E. Torrente-Lujan","Global analysis of Solar neutrino oscillation evidence including SNO and
  implications for Borexino","24 pages, 9 figures, better resolution figures are available upon
  request","Nucl.Phys.B634:393-409,2002","10.1016/S0550-3213(02)00330-9","CERN-TH-2001-380, IFUM-700/FT, FTUAM-01-987","hep-ph",,"  An updated analysis of all available neutrino oscillation evidence in Solar
experiments including the latest $SNO$ data is presented. Predictions for total
rates and day-night asymmetry in Borexino are calculated. Our analysis features
the use of exhaustive computation of the neutrino oscillation probabilities and
the use of an improved statistical $\chi^2$ minimization.
  In the framework of two neutrino oscillations we conclude that the best fit
to the data is obtained in the LMA region with parameters $(\Delta m^2,
\tan^2\theta) = (5.2 \times 10^{-5} \eV^2, 0.47)$, ($\chi^2_{min}/n=0.82$,
$n=38$ degrees of freedom). Although less favored, solutions in the LOW and VAC
regions are still possible with a reasonable statistical significance. The best
possible solution in the SMA region gets as maximum a statistical significance
as low as $\sim 3%$.
  We study the implications of these results for the prospects of Borexino and
the possibility of discriminating between the different solutions. The expected
normalized Borexino signal is 0.62 at the best fit LMA solution while the DN
asymmetry is negligible (approximately $10^{-5}$). In the LOW region the signal
is in the range $\sim 0.6-0.7$ at 90% confidence level while the asymmetry is
$\simeq 1-20%$. As a consequence, the combined Borexino measurements of the
total event rate with a error below $\pm 5-10%$ and day-night total rate
asymmetry with a precision comparable to the one of SuperKamiokande, will have
a strong chance of distinguishing or at least strongly favoring one of the
Solar neutrino solutions provided by present data.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:36:02 GMT""},{""version"":""v2"",""created"":""Fri, 19 Apr 2002 19:36:30 GMT""}]","2014-11-17"
"hep-ph/0111430","Djmiller","A. Freitas and D. J. Miller (DESY)","Slepton Pair Production at a Linear Collider","3 pages, 4 figures, RevTeX4, contribution to Snowmass 2001","eConf C010630:E3061,2001",,"DESY 01-200, Snowmass E3061","hep-ph",,"  Accurate theoretical calculations of slepton pair production processes at
threshold are necessary for an accurate determination of slepton masses. We
discuss the gauge invariant calculation of these processes for selectron and
smuon pairs, including finite width effects and Coulomb corrections. Energy
cuts to reduce irreducible supersymmetric backgrounds are presented.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:03:32 GMT""}]","2009-04-13"
"hep-ph/0111431","Bodo Geyer","Bodo Geyer, Markus Lazar and Dieter Robaschik","Nonlocal operators and distribution amplitudes of definite twist,
  WW-like relations, BC-like sum rules and power corrections for hard QCD
  processes","3 pages, Latex; Contribution to Int. LC-Workshop Trento 2001","Nucl.Phys.Proc.Suppl. 108 (2002) 318-320","10.1016/S0920-5632(02)01353-1",,"hep-ph",,"  The decomposition of nonlocal operators (and of their matrix elements) into
an (infinite) series w.r.t. geometric twist is used to introduce (new) parton
distributions, generalized parton distributions and hadron wave functions of
definite twist. Their comparision with the conventional distributions (of
definite dynamical twist) leads to Wandzura-Wilczek like relations,
Burkhardt-Cottingham like sum rules and allows for power corrections of the
various distribution amplitudes. Some general aspects are reviewed.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:10:31 GMT""}]","2009-11-07"
"hep-ph/0111432","Carlos Pana-Garay","M.C.Gonzalez-Garcia and C. Pe\~na-Garay","On the Effect of theta_{13} on the Determination of Solar Oscillation
  Parameters at KamLAND","6 pages, 2 figures. Typos corrected and reference added. Final
  version to appear in PLB","Phys.Lett. B527 (2002) 199-205","10.1016/S0370-2693(02)01178-4","CERN-TH/2001-332, IFIC/01-65","hep-ph hep-ex",,"  If the solution to the solar neutrino puzzle falls in the LMA region, KamLAND
should be able to measure with good precision the corresponding oscillation
parameters after a few years of data taking. Assuming a positive signal, we
study their expected sensitivity to the solar parameters (theta_{12},Delta
m^2_{21}) when considered in the framework of three-neutrino mixing after
taking into account our ignorance on the mixing angle theta_{13}. We find a
simple ``scaling'' dependence of the reconstructed theta_{12} range with the
value of theta_{13} while the Delta m^2_{12} range is practically unaffected.
Our results show that the net effect is approximately equivalent to an
uncertainty on the overall neutrino flux normalization of up to sim 10 %.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:15:36 GMT""},{""version"":""v2"",""created"":""Fri, 11 Jan 2002 17:22:13 GMT""}]","2009-11-07"
"hep-ph/0111433","Vladimir Sauli","Vladimir Sauli, Jiri Adam","Study of relativistic bound states for scalar theories in Bethe-Salpeter
  and Dyson-Schwinger formalism","30 pages, 10 figures, accepted for publication in Phys. Rev. D","Phys.Rev. D67 (2003) 085007","10.1103/PhysRevD.67.085007",,"hep-ph",,"  The Bethe-Salpeter equation for Wick-Cutkosky like models is solved in
dressed ladder approximation. The bare vertex truncation of the Dyson-Schwinger
equations for propagators is combined with the dressed ladder Bethe-Salpeter
equation for the scalar S-wave bound state amplitudes. With the help of
spectral representation the results are obtained directly in Minkowski space.
We give a new analytic formula for the resulting equation simplifying the
numerical treatment. The bare ladder approximation of Bethe-Salpeter equation
is compared with the one with dressed ladder. The elastic electromagnetic form
factors is calculated within the relativistic impulse approximation.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:34:40 GMT""},{""version"":""v2"",""created"":""Sat, 26 Oct 2002 17:26:37 GMT""}]","2009-11-07"
"hep-ph/0111434","Stephen D. Ellis","S.D. Ellis (University of Washington), J. Huston (Michigan State
  University) and M. Toennesmann (Max-Planck-Institut)","On Building Better Cone Jet Algorithms","REVTeX4, 15 pages, 6 figures; Contribution to the P5 Working Group on
  QCD and Strong Interactions at Snowmass 2001","eConf C010630 (2001) P513",,"UW/PT-01-25, MSUHEP-11101, MPI-PhE/2001-16","hep-ph hep-ex",,"  We discuss recent progress in understanding the issues essential to the
development of better cone jet algorithms.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 19:51:32 GMT""}]","2007-05-23"
"hep-ph/0111435","Malcolm Fairbairn","Malcolm Fairbairn (ULB), Louise M Griffiths (Oxford)","Large extra dimensions, the galaxy power spectrum and the end of
  inflation","12 pages, 2 figures, hadronic branching+typos corrected,accepted in
  JHEP","JHEP 0202 (2002) 024","10.1088/1126-6708/2002/02/024","ULB-TH 01-38","hep-ph astro-ph hep-th",,"  We consider the production of gravitational KK modes via cosmological
photon-photon and electron-positron annihilation in models with large
factorisable extra dimensions. We place constraints on this production using
recent results from a joint analysis of the power spectra of the 2dF Galaxy
Redshift Survey (2dFGS) and the cosmic microwave background (CMB) anisotropies.
We obtain a more accurate upper limit for the temperature corresponding to
matter-radiation equality and show that, even for the case of 6 extra
dimensions and a fundamental scale of 1 TeV, a period of inflation is required
that ends at a temperature much lower than that of the QCD phase transition.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 20:53:06 GMT""},{""version"":""v2"",""created"":""Fri, 30 Nov 2001 12:15:13 GMT""},{""version"":""v3"",""created"":""Tue, 19 Feb 2002 11:03:21 GMT""}]","2009-11-07"
"hep-ph/0111436","Ubi Wichoski","Jane H. MacGibbon and Ubi F. Wichoski","High Energy Tau Neutrinos","3 pages, 3 figures. To appear in the Proceedings of TAUP2001,
  September 8-12, 2001 - Gran Sasso Laboratory, Italy","Nucl.Phys.Proc.Suppl. 110 (2002) 528-530","10.1016/S0920-5632(02)01556-6",,"hep-ph",,"  The intrinsic tau neutrino flux from cosmological and astrophysical sources
has usually been considered negligible in comparison to the electron and muon
neutrino fluxes. However, the inclusion of the tau neutrino component coming
from hadronic decay at the source can significantly modify the tau neutrino
spectrum expected at Earth. We report our results on the high energy tau
neutrino production and its implications for the observation of high energy
neutrino events.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 22:26:16 GMT""}]","2015-06-25"
"hep-ph/0111437","Ismd31","Raimond Snellings (for the STAR collaboration)","Single particle inclusive spectra, HBT and elliptic flow; a consistent
  picture at RHIC?","9 pages, 5 figures (in eps) talk given at XXXI International
  Symposium on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0018",,"hep-ph",,"  In these proceedings we will present the preliminary identified single
particle inclusive spectra, the identified particle elliptic flow and the HBT
versus the reaction plane measured with the STAR detector at RHIC. So far none
of the theoretical space-time models has been able to describe the combination
of these measurements consistently. In order to see if our measurements can be
understood in the context of a simple hydro-motivated blast wave model we
extract the relevant parameters for this model, and show that it leads to a
consistent description of these observables.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 00:51:50 GMT""}]","2017-08-23"
"hep-ph/0111438","Ismd31","J. William Gary","Unbiased gluon jet multiplicity from e$^+$e$^-$ three-jet events","comments: 5 pages, 3 figures in eps, talk given at XXXI International
  Symposium on Multiparticle Dynamics, Sept 1-7, 2001, Datong China. URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0041",,"hep-ph",,"  The charged particle multiplicities of two- and three-jet events from the
reaction e$^+$e$^-$,\to $Z$^0 \to hadrons$ are measured for Z$^0$ decays to
light quark (uds) flavors, using the data sample of the OPAL Collaboration at
LEP. Using recent theoretical expressions to account for biases from event
selection, results corresponding to unbiased gluon jets are extracted. The
unbiased gluon jet data are compared to corresponding results for quark jets.
We determine the ratio $r \equiv \ngluon/\nq$ of multiplicities between gluon
and quark jets as a function of energy scale. We also determine the ratio of
slopes, $r^{(1)} \equiv ({\mathrm{d}}\ngluon /{\mathrm{d}}y) /({\mathrm{d}}\nq
/ {\mathrm{d}}y)$, and of curvatures, $r^{(2)} \equiv ({\mathrm{d}}^2\ngluon
/{\mathrm{d}}y^2) /({\mathrm{d}}^2\nq / {\mathrm{d}}y^2)$, where $y$ specifies
the energy scale. At 30 GeV, we find $r = 1.422\pm0.051$, $r^{(1)} =
1.761\pm0.071$ and $r^{(2)} = 1.98\pm0.13$, where the uncertainties are the
statistical and systematic terms added in quadrature. These results are in
general agreement with theoretical predictions.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 01:21:00 GMT""}]","2017-08-23"
"hep-ph/0111439","Ismd31","G. Valenti","Heavy Ion Physics at LHC","5 pages, 1 figure (in eps) talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0026",,"hep-ph",,"  The study of heavy ion interactions constitutes an important part of the
experimental program outlined for the Large Hadron Collider under construction
at CERN and expected to be operational by 2006. ALICE is the single detector
having the capabilities to explore at the same time most of the characteristics
of high energy heavy ion interactions. Specific studies of jet quenching and
quarkonia production, essentially related to $\mu$ detection are also planned
by CMS.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 01:25:33 GMT""}]","2017-08-23"
"hep-ph/0111440","Ismd31","Peter A. Steinberg","Systematics of Charged Particle Production in Heavy-Ion Collisions with
  the PHOBOS Detector at RHIC","4 pages, 4 figures (in eps) talk given at XXXI International
  Symposium on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0024",,"hep-ph",,"  The multiplicity of charged particles produced in Au+Au collisions as a
function of energy, centrality, rapidity and azimuthal angle has been measured
with the PHOBOS detector at RHIC. These results contribute to our understanding
of the initial state of heavy ion collisions and provide a means to compare
basic features of particle production in nuclear collisions with more
elementary systems.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 01:34:43 GMT""}]","2017-08-23"
"hep-ph/0111441","Ismd31","Jean-No\""el Capdevielle, Fabrice Cohen and Corentin Le Gall","Multiple Production, Transport in Atmosphere and Detection of High
  Energy Cosmic Rays","10 pages, 8 figures (6 in eps, 2 in ps) talk given at XXXI
  International Symposium on Multiparticle Dynamics, Sep. 1-7, 2001, Datong
  China URL http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0080",,"hep-ph",,"  We describe the general aspects of Monte Carlo Collision Generators suitable
for cosmic ray nucleon-Air and nuclei-Air interactions, including accelerator
and collider data. The problem of the extrapolation at 3 energy decades above
the LHC of the main features of high energy collisions is discussed and under
theoretical and phenomenological assumptions, the properties of the
longitudinal and lateral development of giant extensive air showers simulated
with the CORSIKA program are presented. The determination of the primary energy
near $10^{20}$ eV is examined for different observables, total size, densities
of charged particles interpolated at 600~m from shower core. The extensive air
shower data collected around LHC energy is in better agreement with models of
large multiplicities. Beyond this energy, the extrapolation carried assuming
the diquark breaking mechanism can change the classic conversion to primary
energy and such circumstance can have consequences on the validity of the GZK
cut off. In those conditions, we have simulated large and giant air showers
taking into account, in addition, new processes, such as diquark breaking, and
topological problems involving adequate structure functions for lateral
distributions, up to energies exceeding $10^{20}$ eV for P.AUGER and EUSO
experiments.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 02:21:22 GMT""}]","2017-08-23"
"hep-ph/0111442","Ismd31","Philippe Jetzer","Dark matter and gamma rays from the galactic halo","6 pages talk given at XXXI International Symposium on Multiparticle
  Dynamics, Sep. 1-7, 2001, Datong China URL http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0081",,"hep-ph",,"  The nature of the dark matter in the halo of our Galaxy is still largely
unknown. The microlensing events found so far towards the Large Magellanic
Cloud suggest that at most about 20% of the halo dark matter is in the form of
MACHOs (Massive Astrophysical Compact Halo Objects). The dark matter could
also, at least partially, consist of cold molecular clouds (mainly $H_2$).
Another possibility is that WIMPs (Weakly Interacting Massive Particles) make
up the dark matter and that, due to annihilition processes, they show up
through gamma-ray emission.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 02:28:46 GMT""}]","2017-08-23"
"hep-ph/0111443","Ismd31","L. Demortier","Experimental Studies of Diffractive Processes at the Tevatron","6 pages, 2 figures (in eps) talk given at XXXI International
  Symposium on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0068",,"hep-ph",,"  We review the diffractive measurements made by the CDF and D\O\
collaborations during Run I at the Tevatron and summarize the detector upgrades
relevant for the Run II diffractive physics program.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 02:38:24 GMT""}]","2017-08-23"
"hep-ph/0111444","Ismd31","M.B. Gay Ducati, V.P. Gon\c{c}alves, M.V.T. Machado","The Diffractive Logarithmic Slope and the Saturation Phenomena","4 pages, 1 figure (in eps) talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,,,"hep-ph",,"  The logarithmic slope of the diffractive structure function is a potential
observable scanning the hard and soft contributions in diffraction, allowing to
disentangle the QCD dynamics. We report our calculations concerning this
quantity, in particular the estimates emerging from the saturation model
applied to diffraction dissociation.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 02:49:03 GMT""}]","2007-05-23"
"hep-ph/0111445","Ismd31","L. I. Gurvits","Interferometry in astrophysics as a roadmap for interferometry in
  multiparticle dynamics","6 pages, 2 figures in ps, talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sept 1-7, 2001, Datong China. URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0052",,"hep-ph",,"  Interferometry is one of the most powerful experimental tools of modern
astrophysics. Some of its methods are considered in view of potential
applicability to studies of correlations in multiparticle dynamics.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 02:52:36 GMT""}]","2017-08-23"
"hep-ph/0111446","Ismd31","M.E. Carrington, Hou Defu, R. Kobes","Chapman-Enskog expansion of the Boltzmann equation and its diagrammatic
  interpretation","5 pages, 2 figures in eps, talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sept 1-7, 2001, Datong China. URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0035",,"hep-ph",,"  We perform a Chapman-Enskog expansion of the Boltzmann equation keeping up to
quadratic contributions. We obtain a generalized nonlinear Kubo formula, and a
set of integral equations which resum ladder and extended ladder diagrams. We
show that these two equations have exactly the same structure, and thus provide
a diagrammatic interpretation of the Chapman-Enskog expansion of the Boltzmann
equation, up to quadratic order.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 06:17:14 GMT""}]","2017-08-23"
"hep-ph/0111447","A. I. Milstein","R.N.Lee, A.L.Maslennikov, A.I.Milstein, V.M.Strakhovenko, and
  Yu.A.Tikhonov","Photon splitting in atomic fields","45 pages, 24 figures","Phys.Rept.373:213,2003","10.1016/S0370-1573(02)00030-3",,"hep-ph",,"  Photon splitting due to vacuum polarization in the electric field of an atom
is considered. We survey different theoretical approaches to the description of
this nonlinear QED process and several attempts of its experimental
observation. We present the results of the lowest-order perturbation theory as
well as those obtained within the quasiclassical approximation being exact in
the external field strength. The experiment where photon splitting was really
observed for the first time is discussed in details. The results of this
experiment are compared with recent theoretical estimations.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 06:20:27 GMT""}]","2009-11-07"
"hep-ph/0111448","Cong-Feng Qiao","Cong-Feng Qiao (Hiroshima University)","The Status of Charmonium Production in Photon-Photon Collisions","Contribution to ICFP2001, ZhangJiaJie, China. May 31-June 6, 2001",,"10.1142/9789812777379_0030",,"hep-ph",,"  The status of Charmonium production in photon-photon collisions is briefly
reviewed. I would like to mention that although the preliminary data were
obtained in experiment, the theoretical investigation is not in a compatible
status.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 09:04:14 GMT""}]","2017-08-23"
"hep-ph/0111449","Ismd31","Errol Gotsman","Saturation in DIS processes","5 pages, 5 figures (1 in eps, 4 in ps) talk given at XXXI
  International Symposium on Multiparticle Dynamics, Sep. 1-7, 2001, Datong
  China URL http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0077",,"hep-ph",,"  We examine HERA data with a view of determining whether unique signs of
saturation can be identified. Concentrating on two channels the logarithmic
slope of $F_{2}$, and the production of $J/\Psi$, which are sensitive to the
behaviour of $xG(x,Q^{2})$ the gluon density distribution in the proton, we
show that our model incorporating screening corrections and alternative models
comprising a sum of a ""soft"" and ""hard"" component provide good fits to the
data.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 09:26:27 GMT""}]","2017-08-23"
"hep-ph/0111450","Ismd31","J.A. van Dalen","Bose-Einstein Correlations in WW Events at LEP2","4 pages, 2 figures in eps, talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sept 1-7, 2001, Datong China. URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0054",,"hep-ph",,"  Analyses of Bose-Einstein Correlations in $\rW^{+}\rW^{-}$ events at LEP2 by
the four LEP collaborations are presented. In particular, Bose-Einstein
correlations in $\rW^{+}\rW^{-}$ overlap are investigated and the possible
existence of these correlations between particles coming from different W's,
which may influence the W-mass measurements in the fully hadronic channel
$\re^{+}\re^{-}\to \rW^{+}\rW^{-}\to\rq_1 \bar{\rq}_2 \rq_3 \bar{\rq}_4 $. No
evidence for such an inter-W Bose-Einstein correlation is found. The results
are preliminary.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 09:33:45 GMT""}]","2017-08-23"
"hep-ph/0111451","Ismd31","G\""osta Gustafson","A Simple Model for the BFKL-DGLAP Transition","4 pages, 2 figures (in eps) talk given at XXXI International
  Symposium on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0075",,"hep-ph",,"  A simple model for the gluon structure function at small $x$ is presented,
which gives an intuitive picture of the transition between the DGLAP and B FKL
regimes.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 09:36:51 GMT""}]","2017-08-23"
"hep-ph/0111452","Ismd31","A. Ma{\L}ecki and D. Goc-Jag{\L}o","Inelastic Hadron Diffraction in High Energy Elastic Scattering of Nuclei","4 pages, 1 figure (in eps) talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0073",,"hep-ph",,"  The r\^{o}le of inelastic diffraction in elastic scattering of nuclei is
studied in the formalism of \emph{diffractive limit}. The results obtained for
scattering of the $\alpha$--particles on light nuclei show that the nucleonic
diffraction is especially important at large momentum transfers where the
Glauber model of geometric diffraction fails.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 09:45:32 GMT""}]","2017-08-23"
"hep-ph/0111453","Ismd31","Uri Maor","pQCD at the Kinematical Boundary of its Applicability","6 pages, 4 figure (in ps) talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0076",,"hep-ph",,"  I examines the applicability and possible need for a re-formulation of pQCD,
as we know it, in the DIS limit of small $Q^2$ and $x$. Gluon saturation,
implied by s-channel unitarity, and its possible experimental signatures are
critically assessed.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 09:52:15 GMT""}]","2017-08-23"
"hep-ph/0111454","Ismd31","S. Munier","Dipole-proton $S$-matrix derived from diffractive meson
  electroproduction","4 pages, 1 figure (in eps) talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0074",,"hep-ph",,"  Through a determination of the $S$-matrix element for the scattering of a
localized colour dipole on a proton, we show that saturation effects can
already be sizable at HERA. The saturation scale is found to be around 1-1.5
$GeV^2$ for the highest available energies and for central collisions, and is a
decreasing function of the impact parameter.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 10:01:30 GMT""}]","2017-08-23"
"hep-ph/0111455","Ismd31","N.N. Nikolaev","Connection between Diffraction and Small-$x$","5 pages, 2 figures (in eps) talk given at XXXI International
  Symposium on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0071",,"hep-ph",,"  A brief review of the modern QCD theory of diffractive DIS is given.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 10:07:36 GMT""}]","2017-08-23"
